timesteps,BEL,FRA,IRL,NLD,NOR,DEU,DNK
1/1/2013 0:00,0.000862759,0.000862861,0.00086266,0.000862732,0.000862976,0.00086286,0.000862527
1/1/2013 1:00,0.000862713,0.000862818,0.000862617,0.000862687,0.000862922,0.000862812,0.000862516
1/1/2013 2:00,0.000862671,0.000862777,0.000862576,0.000862646,0.000862883,0.000862768,0.00086251
1/1/2013 3:00,0.000862697,0.000862791,0.000862605,0.000862675,0.000862917,0.000862795,0.000862567
1/1/2013 4:00,0.000862754,0.000862841,0.000862658,0.000862733,0.000862978,0.000862857,0.000862654
1/1/2013 5:00,0.000863355,0.000863429,0.000863257,0.000863337,0.000863551,0.000863467,0.000863282
1/1/2013 6:00,0.000864092,0.000864137,0.000864005,0.000864084,0.0008643,0.000864206,0.000864047
1/1/2013 7:00,0.000864175,0.000864212,0.00086409,0.00086417,0.00086442,0.000864286,0.000864151
1/1/2013 8:00,0.000983472,0.000983506,0.000983384,0.000983469,0.000983733,0.000983593,0.000983467
1/1/2013 9:00,0.000997932,0.000997942,0.000997853,0.000997938,0.000998248,0.000998059,0.000997962
1/1/2013 10:00,0.000943886,0.000943867,0.000943818,0.000943901,0.000944302,0.000944024,0.000943951
1/1/2013 11:00,0.000864588,0.000864553,0.000864517,0.000864607,0.000865139,0.000864744,0.000864677
1/1/2013 12:00,0.000864003,0.000863965,0.000863931,0.000864024,0.000864639,0.000864172,0.0008641
1/1/2013 13:00,0.000864107,0.000864068,0.000864033,0.000864127,0.000864814,0.000864281,0.000864189
1/1/2013 14:00,0.000865986,0.000865955,0.000865919,0.000866002,0.00086667,0.000866135,0.000866031
1/1/2013 15:00,0.001120204,0.001120189,0.001120142,0.001120217,0.001120724,0.001120335,0.001120218
1/1/2013 16:00,0.004410768,0.004410771,0.004410708,0.004410777,0.004411085,0.004410872,0.004410749
1/1/2013 17:00,0.004411237,0.004411235,0.004411183,0.004411247,0.00441151,0.004411333,0.004411208
1/1/2013 18:00,0.004411304,0.004411295,0.004411255,0.004411315,0.004411568,0.004411398,0.004411272
1/1/2013 19:00,0.004411313,0.004411301,0.004411268,0.004411324,0.004411557,0.004411399,0.004411278
1/1/2013 20:00,0.004411286,0.004411277,0.004411245,0.004411295,0.004411513,0.004411363,0.004411253
1/1/2013 21:00,0.004411076,0.00441107,0.004411035,0.004411084,0.004411301,0.004411148,0.00441105
1/1/2013 22:00,0.004227883,0.00422788,0.004227841,0.004227889,0.004228166,0.00422795,0.00422787
1/1/2013 23:00,0.00376074,0.003760736,0.003760698,0.003760746,0.003761096,0.003760805,0.003760746
1/2/2013 0:00,0.00376071,0.003760706,0.003760669,0.003760715,0.003761052,0.003760771,0.003760712
1/2/2013 1:00,0.003760712,0.003760707,0.003760672,0.003760718,0.003761042,0.003760773,0.003760712
1/2/2013 2:00,0.003760717,0.003760714,0.003760674,0.003760723,0.003761052,0.003760781,0.003760719
1/2/2013 3:00,0.003760748,0.003760745,0.003760697,0.003760754,0.003761107,0.003760819,0.003760751
1/2/2013 4:00,0.003761045,0.003761042,0.003760986,0.003761051,0.00376142,0.003761126,0.003761043
1/2/2013 5:00,0.004411279,0.00441128,0.004411211,0.004411285,0.004411557,0.004411373,0.004411258
1/2/2013 6:00,0.004412524,0.004412517,0.004412453,0.004412534,0.004412781,0.00441263,0.004412493
1/2/2013 7:00,0.004412652,0.004412634,0.004412581,0.004412665,0.004412925,0.004412765,0.004412625
1/2/2013 8:00,0.004412763,0.004412741,0.00441269,0.004412779,0.004413042,0.004412891,0.00441274
1/2/2013 9:00,0.004412643,0.004412611,0.004412572,0.004412662,0.004412969,0.004412782,0.004412639
1/2/2013 10:00,0.004411811,0.004411758,0.004411726,0.004411839,0.004412357,0.004412011,0.004411848
1/2/2013 11:00,0.004393953,0.004393878,0.004393859,0.004393991,0.004394957,0.004394235,0.004394027
1/2/2013 12:00,0.003763303,0.003763225,0.003763213,0.00376334,0.003764429,0.003763584,0.003763365
1/2/2013 13:00,0.003764378,0.003764303,0.003764285,0.003764414,0.003765524,0.00376466,0.003764433
1/2/2013 14:00,0.004399008,0.004398942,0.004398918,0.004399041,0.004400054,0.004399267,0.004399049
1/2/2013 15:00,0.00441181,0.004411766,0.004411722,0.004411834,0.004412449,0.004412015,0.004411811
1/2/2013 16:00,0.004412585,0.004412561,0.004412495,0.004412603,0.00441299,0.004412756,0.004412562
1/2/2013 17:00,0.0044126,0.004412578,0.004412509,0.004412615,0.004412979,0.004412767,0.004412574
1/2/2013 18:00,0.004412476,0.004412461,0.004412382,0.004412489,0.004412854,0.004412641,0.00441244
1/2/2013 19:00,0.004412169,0.004412158,0.004412078,0.00441218,0.004412557,0.004412325,0.004412135
1/2/2013 20:00,0.004410772,0.004410761,0.004410684,0.004410782,0.004411218,0.004410926,0.004410737
1/2/2013 21:00,0.003363403,0.003363399,0.003363313,0.003363407,0.0033639,0.003363553,0.003363364
1/2/2013 22:00,0.003348843,0.003348863,0.003348757,0.003348839,0.003349309,0.003348972,0.003348793
1/2/2013 23:00,0.003347327,0.003347344,0.003347249,0.003347325,0.00334789,0.003347446,0.003347285
1/3/2013 0:00,0.003347163,0.003347207,0.003347084,0.003347153,0.00334767,0.003347268,0.003347093
1/3/2013 1:00,0.00334705,0.0033471,0.003346971,0.003347038,0.003347504,0.003347151,0.003346955
1/3/2013 2:00,0.003347063,0.003347108,0.00334699,0.003347053,0.003347503,0.003347162,0.003346954
1/3/2013 3:00,0.003347178,0.003347212,0.003347107,0.003347169,0.003347616,0.003347282,0.003347053
1/3/2013 4:00,0.003347368,0.003347379,0.003347299,0.003347363,0.003347825,0.003347489,0.003347243
1/3/2013 5:00,0.003362064,0.003362065,0.003361998,0.003362061,0.003362355,0.003362195,0.003361916
1/3/2013 6:00,0.004411229,0.004411216,0.004411166,0.004411233,0.004411463,0.004411367,0.004411092
1/3/2013 7:00,0.004412481,0.00441247,0.00441242,0.004412486,0.00441264,0.004412605,0.004412316
1/3/2013 8:00,0.004412734,0.004412716,0.004412671,0.00441274,0.004412864,0.004412866,0.004412547
1/3/2013 9:00,0.004412491,0.004412458,0.004412427,0.0044125,0.00441267,0.004412641,0.004412307
1/3/2013 10:00,0.004410044,0.004409986,0.004409973,0.004410057,0.004410389,0.004410254,0.004409881
1/3/2013 11:00,0.003764641,0.003764574,0.003764568,0.003764656,0.003765081,0.003764873,0.00376448
1/3/2013 12:00,0.003765941,0.003765877,0.003765874,0.003765955,0.00376632,0.003766143,0.003765755
1/3/2013 13:00,0.004408528,0.004408474,0.004408466,0.00440854,0.004408822,0.004408696,0.004408314
1/3/2013 14:00,0.004411945,0.004411904,0.004411887,0.004411954,0.004412143,0.004412076,0.004411708
1/3/2013 15:00,0.004413027,0.004413006,0.004412973,0.004413032,0.004413082,0.004413128,0.004412722
1/3/2013 16:00,0.004413282,0.004413275,0.004413227,0.004413285,0.004413266,0.004413376,0.004412947
1/3/2013 17:00,0.004413344,0.004413348,0.004413287,0.004413344,0.004413291,0.004413431,0.004412986
1/3/2013 18:00,0.004413268,0.004413272,0.004413211,0.004413268,0.004413228,0.004413356,0.004412926
1/3/2013 19:00,0.004413174,0.004413188,0.004413117,0.004413172,0.004413136,0.004413257,0.00441284
1/3/2013 20:00,0.004412861,0.004412879,0.004412803,0.004412858,0.004412851,0.004412943,0.004412553
